7036,Chemical Storage Shed 2,Chemical Storage Shed 2,Chemical Storage Shed 2,CHEM STOR 2,7036,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,620 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,620 RED HILL ROAD,5245,44,1,1,01/01/1997,06/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7037,Chemical Storage Shed 3,Chemical Storage Shed 3,Chemical Storage Shed 3,CHEM STOR 3,7037,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,620 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,620 RED HILL ROAD,5245,44,1,1,01/01/1994,06/01/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7039,Long Marine Lab Caretaker Trailer A,Long Marine Lab Caretaker Trailer A,Long Marine Lab Caretaker Trailer A,LML CARETR A,7039,Off-campus Coastal Science Campus,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,106 McAllister Way,Santa Cruz,Santa Cruz,CA,95060,106 MCALLISTER WAY,5245,44,1,1,01/01/2003,08/01/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7043,Kiosk for East Entrance,Kiosk for East Entrance,Kiosk for East Entrance,KIOSK EAST,7043,Main Entrance Area,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,108 Coolidge Drive,Santa Cruz,Santa Cruz,CA,95064,108 COOLIDGE DRIVE,5245,44,1,1,01/01/2003,05/01/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7044,Agroecology Modular A3,Agroecology Modular A3,Agroecology Modular A3,AGROECO A3,7044,Agroecology,07 - Santa Cruz,C - Central Campus,G - General,OFF - Office,205 Village Road,Santa Cruz,Santa Cruz,CA,95064,205 VILLAGE ROAD,5245,44,1,1,01/01/1985,07/01/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7045,Laureate Court Apartment Building 700 Nobel Drive,Laureate Court Apartment Building 700 Nobel Drive,Laureate Court Apartment Building 700 Nobel Drive,L CT APT 700,7045,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,700 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,700 NOBEL DRIVE,5245,44,2,2,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7046,Laureate Court Apartment Building 702 Nobel Drive,Laureate Court Apartment Building 702 Nobel Drive,Laureate Court Apartment Building 702 Nobel Drive,L CT APT 702,7046,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,702 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,702 NOBEL DRIVE,5245,44,2,3,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7047,Laureate Court Apartment Building 704 Nobel Drive,Laureate Court Apartment Building 704 Nobel Drive,Laureate Court Apartment Building 704 Nobel Drive,L CT APT 704,7047,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,704 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,704 NOBEL DRIVE,5245,44,2,3,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7048,Laureate Court Apartment Building 706 Nobel Drive,Laureate Court Apartment Building 706 Nobel Drive,Laureate Court Apartment Building 706 Nobel Drive,L CT APT 706,7048,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,706 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,706 NOBEL DRIVE,5245,44,2,3,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7049,Laureate Court Apartment Building 708 Nobel Drive,Laureate Court Apartment Building 708 Nobel Drive,Laureate Court Apartment Building 708 Nobel Drive,L CT APT 708,7049,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,708 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,708 NOBEL DRIVE,5245,44,2,3,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
